id,text,title,use_tts,use_bubble,show_continue,interrupt,rate,auto_close
INTRO_GREETING,"hoi ik ben klappy en wij gaan samen een beat maken","",true,true,false,false,1.0,true
LIGHT_PAD_UNLOCK,"Wow! Beweeg je muis over mijn lampje en hoor wat er gebeurt!","",true,true,false,false,1.0,true
NOT_ENOUGH_ENERGY,"Je hebt niet genoeg energie om meer beats toe te voegen!","",false,true,false,false,1.0,true
ACH_TRACK_2,"De 📣 Snare heeft een helder geluid, die wordt meestal op de lijntjes gezet.","",true,true,false,false,1.0,true
ACH_TRACK_3,"Dit korte ⌚ Hi-hat geluid laat de boel lekker swingen, zet er maar eens een hele hoop neer","",true,true,false,false,1.0,true
ACH_SYNTH_2,"Met de hoge 🐦 Synth, kan je het lekker druk maken, maar ook even een kort geluidje is die heel goed in.","",true,true,false,false,1.0,true
ACH_ADD_SECTION,"Met de + kan je het liedje nog langer maken, de icoontjes kunnen je helpen structuur te geven","",true,true,false,false,1.0,true
ACH_SONG_MODE,"Oke nu gaat het echte werk beginnen met de 🎵 Song Mode, alle rondjes worden achter elkaar afgespeeld, en met de microfoon kan je een hele lange opname maken","",true,true,false,false,1.0,true
ACH_FIRST_SAMPLE,"Gaaf! Je hebt je eerste 🎤 geluid opgenomen, zet hem in de ring!","",true,true,false,false,1.0,true
ACH_SECOND_SAMPLE,"Wat een leuke sample, daar krijg ik energie ⚡ van !","",true,true,false,false,1.0,true
ACH_TEMPLATE_TIP,"Ik weet een leuke beat voor je, in de beat ring staan nu stipjes die je een hint geven","",true,true,false,false,1.0,true
ACH_TIP_TRACK_2,"Verzamel meer energie om de Snare ring vrij te spelen","",true,true,false,false,1.0,true
ACH_TIP_SYNTH_2,"Verzamel meer energie om een hoger geluid op te kunnen nemen","",true,true,false,false,1.0,true
ACH_TIP_TEMPLATE,"Als je hier op klikt, dan laat ik een voorbeeld liedje zien","",true,true,false,false,1.0,true
ACH_TIP_ADD_SECTION,"Als je een nieuwe patroon toevoegt, kan je hier een heel liedje opnemen.","",true,true,false,false,1.0,true
ACH_TIP_FIRST_SAMPLE,"Een cadeautje van mij! neem met deze 🎤 microfoon een kort hard geluid op hem te gebruiken als instrument in de ring.","",true,true,false,false,1.0,true
ACH_TIP_SECOND_SAMPLE,"Kan je hier voor mij een kort gek geluid opnemen?","",true,true,false,false,1.0,true
ACH_TIP_TRACK_3,"Verzamel meer energie om de hi-hat vrij te spelen","",true,true,false,false,1.0,true
CHORD_SCHEMA_READY,"ik heb een accorden schema voor je gemaakt, je kan hem horen als je hem naar het muziek nootje sleept","",true,false,false,false,1.0,true
